# Storage cluster report
server:     singleplayer
dimension:  minecraft_overworld
player:     pvp_HS
player_pos: 11, -47, -17
chest_count: 2136
timestamp:  2026-07-09T17:21:43.175325045Z

# chest coordinates (x, y, z)
19, -61, -30
19, -61, -29
19, -61, -28
19, -61, -27
19, -61, -26
19, -61, -25
19, -61, -24
19, -61, -23
19, -61, -22
19, -61, -21
19, -61, -20
19, -61, -19
19, -61, -18
19, -61, -17
19, -61, -16
19, -60, -30
19, -60, -29
19, -60, -28
19, -60, -27
19, -60, -26
19, -60, -25
19, -60, -24
19, -60, -23
19, -60, -22
19, -60, -21
19, -60, -20
19, -60, -19
19, -60, -18
19, -60, -17
19, -60, -16
19, -59, -30
19, -59, -29
19, -59, -28
19, -59, -27
19, -59, -26
19, -59, -25
19, -59, -24
19, -59, -23
19, -59, -22
19, -59, -21
19, -59, -20
19, -59, -19
19, -59, -18
19, -59, -17
19, -59, -16
19, -58, -30
19, -58, -29
19, -58, -28
19, -58, -27
19, -58, -26
19, -58, -25
19, -58, -24
19, -58, -23
19, -58, -22
19, -58, -21
19, -58, -20
19, -58, -19
19, -58, -18
19, -58, -17
19, -58, -16
19, -57, -30
19, -57, -29
19, -57, -28
19, -57, -27
19, -57, -26
19, -57, -25
19, -57, -24
19, -57, -23
19, -57, -22
19, -57, -21
19, -57, -20
19, -57, -19
19, -57, -18
19, -57, -17
19, -57, -16
19, -56, -30
19, -56, -29
19, -56, -28
19, -56, -27
19, -56, -26
19, -56, -25
19, -56, -24
19, -56, -23
19, -56, -22
19, -56, -21
19, -56, -20
19, -56, -19
19, -56, -18
19, -56, -17
19, -56, -16
19, -55, -30
19, -55, -29
19, -55, -28
19, -55, -27
19, -55, -26
19, -55, -25
19, -55, -24
19, -55, -23
19, -55, -22
19, -55, -21
19, -55, -20
19, -55, -19
19, -55, -18
19, -55, -17
19, -55, -16
19, -54, -30
19, -54, -29
19, -54, -28
19, -54, -27
19, -54, -26
19, -54, -25
19, -54, -24
19, -54, -23
19, -54, -22
19, -54, -21
19, -54, -20
19, -54, -19
19, -54, -18
19, -54, -17
19, -54, -16
19, -53, -30
19, -53, -29
19, -53, -28
19, -53, -27
19, -53, -26
19, -53, -22
19, -53, -21
19, -53, -20
19, -53, -19
19, -53, -18
19, -53, -17
19, -53, -16
19, -52, -30
19, -52, -29
19, -52, -28
19, -52, -27
19, -52, -26
19, -52, -25
19, -52, -24
19, -52, -22
19, -52, -21
19, -52, -20
19, -52, -19
19, -52, -18
19, -52, -17
19, -52, -16
19, -51, -30
19, -51, -29
19, -51, -28
19, -51, -27
19, -51, -26
19, -51, -25
19, -51, -24
19, -51, -23
19, -51, -22
19, -51, -21
19, -51, -20
19, -51, -19
19, -51, -18
19, -51, -17
19, -51, -16
19, -50, -30
19, -50, -29
19, -50, -28
19, -50, -27
